#No. "DHCP Label Name:" R G B A
0 Unknown 0 0 0 0
1 Left-Hippocampus 220 216 20 0
2 Right-Hippocampus 220 216 20 0
3 Left-Amygdala 103 255 255 0
4 Right-Amygdala 103 255 255 0
5 Left-Anterior_temporal_lobe_medial_part_GM 205 62 78 0
6 Right-Anterior_temporal_lobe_medial_part_GM 205 62 78 0
7 Left-Anterior_temporal_lobe_lateral_part_GM 205 62 78 0
8 Right-Anterior_temporal_lobe_lateral_part_GM 205 62 78 0
9 Left-Gyri_parahippocampalis_et_ambiens_anterior_part_GM 205 62 78 0
10 Right-Gyri_parahippocampalis_et_ambiens_anterior_part_GM 205 62 78 0
11 Left-Superior_temporal_gyrus_middle_part_GM 205 62 78 0
12 Right-Superior_temporal_gyrus_middle_part_GM 205 62 78 0
13 Left-Medial_and_inferior_temporal_gyri_anterior_part_GM 205 62 78 0
14 Right-Medial_and_inferior_temporal_gyri_anterior_part_GM 205 62 78 0
15 Left-Lateral_occipitotemporal_gyrus_gyrus_fusiformis_anterior_part_GM 205 62 78 0
16 Right-Lateral_occipitotemporal_gyrus_gyrus_fusiformis_anterior_part_GM 205 62 78 0
17 Left-Cerebellum 0 0 0 0
18 Right-Cerebellum 0 0 0 0
19 Brainstem 0 0 0 0
20 Right-Insula_GM 205 62 78 0
21 Left-Insula_GM 205 62 78 0
22 Right-Occipital_lobe_GM 205 62 78 0
23 Left-Occipital_lobe_GM 205 62 78 0
24 Right-Gyri_parahippocampalis_et_ambiens_posterior_part_GM 205 62 78 0
25 Left-Gyri_parahippocampalis_et_ambiens_posterior_part_GM 205 62 78 0
26 Right-Lateral_occipitotemporal_gyrus_gyrus_fusiformis_posterior_part_GM 205 62 78 0
27 Left-Lateral_occipitotemporal_gyrus_gyrus_fusiformis_posterior_part_GM 205 62 78 0
28 Right-Medial_and_inferior_temporal_gyri_posterior_part_GM 205 62 78 0
29 Left-Medial_and_inferior_temporal_gyri_posterior_part_GM 205 62 78 0
30 Right-Superior_temporal_gyrus_posterior_part_GM 205 62 78 0
31 Left-Superior_temporal_gyrus_posterior_part_GM 205 62 78 0
32 Right-Cingulate_gyrus_anterior_part_GM 205 62 78 0
33 Left-Cingulate_gyrus_anterior_part_GM 205 62 78 0
34 Right-Cingulate_gyrus_posterior_part_GM 205 62 78 0
35 Left-Cingulate_gyrus_posterior_part_GM 205 62 78 0
36 Right-Frontal_lobe_GM 205 62 78 0
37 Left-Frontal_lobe_GM 205 62 78 0
38 Right-Parietal_lobe_GM 205 62 78 0
39 Left-Parietal_lobe_GM 205 62 78 0
40 Right-Caudate_nucleus 0 0 0 0
41 Left-Caudate_nucleus 0 0 0 0
42 Right-Thalamus_high_intensity_part_in_T2 0 0 0 0
43 Left-Thalamus_high_intensity_part_in_T2 0 0 0 0
44 Right-Subthalamic_nucleus 0 0 0 0
45 Left-Subthalamic_nucleus 0 0 0 0
46 Right-Lentiform_Nucleus 0 0 0 0
47 Left-Lentiform_Nucleus 0 0 0 0
48 Corpus_Callosum 245 245 245 0
49 Left-Lateral-Ventricle 0 0 0 0
50 Right-Lateral-Ventricle 0 0 0 0
51 Right-Anterior_temporal_lobe_medial_part_WM 245 245 245 0
52 Left-Anterior_temporal_lobe_medial_part_WM 245 245 245 0
53 Right-Anterior_temporal_lobe_lateral_part_WM 245 245 245 0
54 Left-Anterior_temporal_lobe_lateral_part_WM 245 245 245 0
55 Right-Gyri_parahippocampalis_et_ambiens_anterior_part_WM 245 245 245 0
56 Left-Gyri_parahippocampalis_et_ambiens_anterior_part_WM 245 245 245 0
57 Right-Superior_temporal_gyrus_middle_part_WM 245 245 245 0
58 Left-Superior_temporal_gyrus_middle_part_WM 245 245 245 0
59 Right-Medial_and_inferior_temporal_gyri_anterior_part_WM 245 245 245 0
60 Left-Medial_and_inferior_temporal_gyri_anterior_part_WM 245 245 245 0
61 Right-Lateral_occipitotemporal_gyrus_gyrus_fusiformis_anterior_part_WM 245 245 245 0
62 Left-Lateral_occipitotemporal_gyrus_gyrus_fusiformis_anterior_part_WM 245 245 245 0
63 Right-Insula_WM 245 245 245 0
64 Left-Insula_WM 245 245 245 0
65 Right-Occipital_lobe_WM 245 245 245 0
66 Left-Occipital_lobe_WM 245 245 245 0
67 Right-Gyri_parahippocampalis_et_ambiens_posterior_part_WM 245 245 245 0
68 Left-Gyri_parahippocampalis_et_ambiens_posterior_part_WM 245 245 245 0
69 Right-Lateral_occipitotemporal_gyrus_gyrus_fusiformis_posterior_part_WM 245 245 245 0
70 Left-Lateral_occipitotemporal_gyrus_gyrus_fusiformis_posterior_part_WM 245 245 245 0
71 Right-Medial_and_inferior_temporal_gyri_posterior_part_WM 245 245 245 0
72 Left-Medial_and_inferior_temporal_gyri_posterior_part_WM 245 245 245 0
73 Right-Superior_temporal_gyrus_posterior_part_WM 245 245 245 0
74 Left-Superior_temporal_gyrus_posterior_part_WM 245 245 245 0
75 Right-Cingulate_gyrus_anterior_part_WM 245 245 245 0
76 Left-Cingulate_gyrus_anterior_part_WM 245 245 245 0
77 Right-Cingulate_gyrus_posterior_part_WM 245 245 245 0
78 Left-Cingulate_gyrus_posterior_part_WM 245 245 245 0
79 Right-Frontal_lobe_WM 245 245 245 0
80 Left-Frontal_lobe_WM 245 245 245 0
